cluster	label	organism
C1	Other	mm10
C2	Other	mm10
C3	Other	mm10
C1	Other	cavpor3
C2	Other	cavpor3
C3	Other	cavpor3
C4	CM	mm10
C5	CM	mm10
C6	CM	mm10
C7	CM	mm10
C8	CM	mm10
C9	CM	mm10
C10	CM	mm10
C12	CM	mm10
C13	CM	mm10
C14	CM	mm10
C21	CM	mm10
C12	CM	cavpor3
C13	CM	cavpor3
C14	CM	cavpor3
C15	CM	cavpor3
C16	CM	cavpor3
C17	CM	cavpor3
C18	CM	cavpor3
C19	CM	cavpor3
C20	CM	cavpor3
C21	CM	cavpor3
C22	CM	cavpor3
C11	Endo-Epi	mm10
C15	Endo-Epi	mm10
C16	Endo-Epi	mm10
C17	Endo-Epi	mm10
C18	Endo-Epi	mm10
C19	Endo-Epi	mm10
C20	Endo-Epi	mm10
C22	Endo-Epi	mm10
C4	Endo-Epi	cavpor3
C5	Endo-Epi	cavpor3
C6	Endo-Epi	cavpor3
C7	Endo-Epi	cavpor3
C8	Endo-Epi	cavpor3
C9	Endo-Epi	cavpor3
C10	Endo-Epi	cavpor3
C11	Endo-Epi	cavpor3
