cluster	label_l2	label_l1	organism
C6	pCM	CM	cavpor3
C7	pCM	CM	cavpor3
C6	pCM	CM	mm10
C7	pCM	CM	mm10
C8	pCM	CM	mm10
C5	mCM-2	CM	cavpor3
C9	mCM-2	CM	mm10
C1	mCM-1	CM	cavpor3
C3	mCM-1	CM	cavpor3
C4	mCM-1	CM	cavpor3
C8	mCM-1	CM	cavpor3
C1	mCM-1	CM	mm10
C2	mCM-1	CM	mm10
C3	mCM-1	CM	mm10
C4	mCM-1	CM	mm10
C12	mCM-1	CM	mm10
C13	mCM-1	CM	mm10
C14	mCM-1	CM	mm10
C2	dCM	CM	cavpor3
C9	dCM	CM	cavpor3
C10	dCM	CM	cavpor3
C11	dCM	CM	cavpor3
C12	dCM	CM	cavpor3
C13	dCM	CM	cavpor3
C14	dCM	CM	cavpor3
C5	dCM	CM	mm10
C10	dCM	CM	mm10
C11	dCM	CM	mm10
C15	dCM	CM	mm10
C16	dCM	CM	mm10
C17	dCM	CM	mm10
C1	FB-CM	Endo-Epi	cavpor3
C13	FB-CM	Endo-Epi	mm10
C8	Endo-EC-2	Endo-Epi	cavpor3
C2	Endo-EC-2	Endo-Epi	mm10
C6	Endo-EC-2	Endo-Epi	mm10
C5	Endo-EC-1	Endo-Epi	cavpor3
C6	Endo-EC-1	Endo-Epi	cavpor3
C7	Endo-EC-1	Endo-Epi	cavpor3
C9	Endo-EC-1	Endo-Epi	cavpor3
C1	Endo-EC-1	Endo-Epi	mm10
C3	Endo-EC-1	Endo-Epi	mm10
C4	Endo-EC-1	Endo-Epi	mm10
C5	Endo-EC-1	Endo-Epi	mm10
C7	Endo-EC-1	Endo-Epi	mm10
C8	Endo-EC-1	Endo-Epi	mm10
C2	FB-1	Endo-Epi	cavpor3
C11	FB-1	Endo-Epi	cavpor3
C12	FB-1	Endo-Epi	cavpor3
C10	FB-1	Endo-Epi	mm10
C12	FB-1	Endo-Epi	mm10
C13	FB-2	Endo-Epi	cavpor3
C11	FB-2	Endo-Epi	mm10
C3	FB-3	Endo-Epi	cavpor3
C16	FB-3	Endo-Epi	mm10
C10	SMC-PC	Endo-Epi	cavpor3
C9	SMC-PC	Endo-Epi	mm10
C4	Epi	Endo-Epi	cavpor3
C14	Epi	Endo-Epi	mm10
C15	Epi	Endo-Epi	mm10
C1	BC	Other	cavpor3
C3	BC	Other	cavpor3
C5	BC	Other	cavpor3
C6	BC	Other	cavpor3
C6	BC	Other	mm10
C7	BC	Other	mm10
C7	Other-1	Other	cavpor3
C9	Other-1	Other	cavpor3
C4	Other-1	Other	mm10
C5	Other-1	Other	mm10
C2	Other-2	Other	cavpor3
C4	Other-2	Other	cavpor3
C8	Other-2	Other	cavpor3
C1	Other-2	Other	mm10
C2	Other-2	Other	mm10
C3	Other-2	Other	mm10
